,year,age,sex,lfp,n,cohort,lfp_pred,lfp_se,lfp_pred2,lfp_se2,lfp_age_avg,lfp_pred3,lfp_se3
4480,1987,70,2,8.8160324,7262,1917,9.61949915269,0.176204239025,8.84904011373,0.218039776354,9.9341631,9.31612085846,0.0209992435116
4481,1988,70,2,9.2296991,7264,1918,9.76191616216,0.17620301639,9.12198107736,0.218039421761,9.9341631,9.43529804472,0.020993341886
4482,1989,70,2,10.119083,7723,1919,9.93567800773,0.177513730612,9.54752188438,0.218265087008,9.9341631,9.58221112425,0.0210586591283
4483,1990,70,2,11.413309,7943,1920,10.139276996,0.179794077078,10.0126197222,0.218790852969,9.9341631,9.75677081426,0.0211773812867
4484,1991,70,2,10.147411,7593,1921,10.3704590359,0.182473114827,10.388838235,0.219452714708,9.9341631,9.95816953519,0.0213249938239
4485,1992,70,2,9.2680559,7843,1922,10.6262741799,0.184967404723,10.6167533954,0.220036588257,9.9341631,10.1848354373,0.0214921532202
4486,1993,70,2,10.550111,7731,1923,10.9031458274,0.187005920519,10.7429996276,0.221086776537,9.9341631,10.4343972357,0.021715549391
4487,1994,70,2,11.399302,7192,1924,11.196956821,0.189109907988,10.8800629625,0.223911743886,9.9341631,10.7036679271,0.0221152394873
4488,1995,70,2,10.946759,7167,1925,11.503150227,0.193271265357,11.1189599672,0.228634120161,9.9341631,10.9886564559,0.0229290213355
4489,1996,70,2,11.813477,6121,1926,11.8168422107,0.203656081399,11.4617137971,0.232959461359,9.9341631,11.2846161105,0.0245182021135
4490,1997,70,2,12.532475,5898,1927,12.1329441143,0.226570966952,11.8245210969,0.238161717969,9.9341631,11.5861366448,0.0273105733827
4491,1998,70,2,12.170081,5773,1928,12.4462906143,0.268791328204,12.1070071975,0.265576643476,9.9341631,11.8872837945,0.031688318448
4492,1999,70,2,12.157963,5821,1929,12.751770696,0.33527971337,12.2723556249,0.360154825471,9.9341631,12.1817852455,0.0379006282979
4493,2000,70,2,11.126005,5710,1930,13.0444581301,0.428671213795,12.3763432726,0.547865713899,9.9341631,12.4632567419,0.0460626640147
4494,2001,70,2,14.890678,6145,1931,13.3197381718,0.550363911786,12.5235406661,0.820940578398,9.9341631,12.7254566388,0.0562078830192
4495,2002,70,2,13.682447,6370,1932,13.5734273277,0.701494612214,12.7832457717,1.15951675373,9.9341631,12.9625526674,0.0683349306172
4496,2003,70,2,13.390038,6086,1933,13.8018832416,0.883280892978,13.1253127856,1.53936252779,9.9341631,13.1693817644,0.0824299637155
4497,2004,70,2,16.601675,5572,1934,14.0021020309,1.09701752451,13.4197015127,1.93387509288,9.9341631,13.3416830684,0.0984719992534
4498,2005,70,2,17.099731,5853,1935,14.1718007559,1.34397679148,13.499356571,2.31699531132,9.9341631,13.4762857967,0.116431191871
4499,2006,70,2,16.588181,5921,1936,14.3094831058,1.62530679906,13.2467901463,2.66653873843,9.9341631,13.5712374935,0.136265415545
4500,2007,70,2,17.10367,5716,1937,14.4144868348,1.94194961607,12.6545981436,2.96681498031,9.9341631,13.6258635526,0.157917220826
4501,2008,70,2,17.827501,6064,1938,14.4870119578,2.29457975573,11.8303269734,3.20986883239,9.9341631,13.6407552096,0.181311747879
4502,2009,70,2,20.055311,5997,1939,14.5281292115,2.68355945709,10.9493765917,3.39519166194,9.9341631,13.6176895304,0.206355642022
4503,2010,70,2,17.381222,6551,1940,14.5397687826,3.10890755246,10.1850428039,3.52817925849,9.9341631,13.5594905319,0.232936865967
4504,2011,70,2,18.147152,6478,1941,14.5246897912,3.57027965542,9.65055350102,3.61788415098,9.9341631,13.4698448344,0.260925277748
4505,2012,70,2,19.434284,6734,1942,14.48643148,4.06695814457,9.37537589928,3.67468891868,9.9341631,13.3530878086,0.290173852024
4506,2013,70,2,20.037977,7532,1943,14.4292474869,4.59785087412,9.31762926458,3.70842025981,9.9341631,13.2139769202,0.320520435355
4507,2014,70,2,18.032597,7108,1944,14.358024957,5.16149778565,9.39811635575,3.72718863408,9.9341631,13.0574680264,0.351789935784
4508,2015,70,2,19.247168,7293,1945,14.2781905776,5.75608470464,9.53625485383,3.73697017442,9.9341631,12.8885080613,0.383796853199
4509,2016,70,2,18.311184,7553,1946,14.1956058803,6.37946363596,9.67355508779,3.74174535428,9.9341631,12.7118543202,0.416348060785
4510,1976,71,1,23.559036,3719,1905,22.214715511,0.335319846128,21.6833957707,0.360183035032,18.218683,22.0727530162,0.0381493363048
4511,1977,71,1,19.885921,4401,1906,21.5569288162,0.268831524075,21.3580669973,0.26559148734,18.218683,21.4456383533,0.0318996939691
4512,1978,71,1,20.283426,4459,1907,20.8950182286,0.226609269587,20.9116022939,0.238171772698,18.218683,20.7948613383,0.0274856858506
4513,1979,71,1,20.759211,4711,1908,20.2399917675,0.203690446708,20.4097667113,0.232968790713,18.218683,20.1381214277,0.0246594820212
4514,1980,71,1,19.962744,5489,1909,19.6028360653,0.193300700606,19.8833883987,0.228643254912,18.218683,19.4925329715,0.0230412625542
4515,1981,71,1,18.685627,5334,1910,18.994303438,0.189134636718,19.3339766905,0.22392006304,18.218683,18.8740165956,0.0222047493937
4516,1982,71,1,16.317848,5273,1911,18.4247035018,0.187026743851,18.7521206393,0.2210937653,18.218683,18.2968461641,0.0217883155509
4517,1983,71,1,18.955317,5193,1912,17.9037039266,0.184985149133,18.1387376275,0.220042228238,18.218683,17.773366715,0.021552581321
4518,1984,71,1,17.74173,5289,1913,17.4401447223,0.182488401708,17.5215826667,0.219457205418,18.218683,17.3138764432,0.0213756170973
4519,1985,71,1,17.699081,5130,1914,17.041870152,0.179807284105,16.959345211,0.218794340887,18.218683,16.9266472171,0.0212191629207
4520,1986,71,1,15.226142,5158,1915,16.7155819601,0.177525032907,16.5261668222,0.218267618183,18.218683,16.6180457756,0.0210915164487
4521,1987,71,1,15.365044,5294,1916,16.4667171041,0.176212460534,16.2783110896,0.21804099001,18.218683,16.3927125177,0.0210166969923
4522,1988,71,1,17.150139,5055,1917,16.2993525986,0.176211828151,16.220613085,0.218040377703,18.218683,16.2537559828,0.0210124847611
4523,1989,71,1,16.34086,5389,1918,16.216139438,0.177523121187,16.2984925612,0.218265809784,18.218683,16.2029271985,0.0210787996769
4524,1990,71,1,16.074966,5272,1919,16.2182668739,0.17980403974,16.428343282,0.218791382545,18.218683,16.2407471934,0.0211976023944
4525,1991,71,1,15.471257,5506,1920,16.3054575989,0.182483706344,16.550679324,0.219453088409,18.218683,16.3665716009,0.0213443375866
4526,1992,71,1,16.93326,5539,1921,16.4759936635,0.184978784441,16.6697198319,0.220036844702,18.218683,16.5785872899,0.0215097719527
4527,1993,71,1,15.887253,5720,1922,16.7267722266,0.187018359823,16.8494520775,0.221086949985,18.218683,16.8737466909,0.0217308067311
4528,1994,71,1,16.549244,5375,1923,17.0533895521,0.189123750936,17.1662996215,0.223911857305,18.218683,17.247655483,0.0221277740667
4529,1995,71,1,18.921871,5280,1924,17.4502510134,0.193286794718,17.6493282347,0.228634189905,18.218683,17.6944380572,0.022938796856
4530,1996,71,1,20.139643,4351,1925,17.9107042876,0.203673251053,18.2479088858,0.232959501998,18.218683,18.2066119378,0.0245255426078
4531,1997,71,1,18.849861,4392,1926,18.4271924152,0.226589149638,18.8489602139,0.238161740869,18.218683,18.7750060919,0.0273161223679
4532,1998,71,1,19.22669,4445,1927,18.9914229844,0.268809484127,19.3347107634,0.265576655204,18.218683,19.3887576682,0.0316928591587
4533,1999,71,1,21.262215,4607,1928,19.5945493847,0.335296954351,19.6472844754,0.360154830241,18.218683,20.0354163143,0.0379048419142
4534,2000,71,1,18.578247,4378,1929,20.2273598659,0.428687111238,19.8220809668,0.547865715496,18.218683,20.7011746644,0.0460669873483
4535,2001,71,1,20.139069,4942,1930,20.8804700381,0.55037838937,19.9693309697,0.820940578942,18.218683,21.3712287785,0.0562125082861
4536,2002,71,1,21.257774,4947,1931,21.5445144616,0.701507750815,20.2122564384,1.15951675397,18.218683,22.0302552729,0.0683398757753
4537,2003,71,1,19.22732,4473,1932,22.2103330944,0.883292814403,20.6148569415,1.53936252791,18.218683,22.6629754648,0.0824351474031
4538,2004,71,1,20.924234,4546,1933,22.8691485862,1.09702834552,21.138636673,1.93387509293,18.218683,23.2547640361,0.0984772963022
4539,2005,71,1,22.199842,4576,1934,23.5127307266,1.34398661169,21.6518294949,2.31699531134,18.218683,23.7922528429,0.116436468506
4540,2006,71,1,23.866663,4477,1935,24.1335447523,1.62531570126,21.985986648,2.66653873843,18.218683,24.263880582,0.136270549511
4541,2007,71,1,23.818367,4642,1936,24.7248806897,1.94195767003,22.0099662722,2.96681498031,18.218683,24.6603456085,0.157922111486
4542,2008,71,1,24.808519,4355,1937,25.2809614357,2.29458702212,21.6843792194,3.20986883239,18.218683,24.9749305558,0.181316319955
4543,2009,71,1,26.347578,4529,1938,25.7970278473,2.68356599058,21.0728756051,3.39519166194,18.218683,25.2036811703,0.206359845436
4544,2010,71,1,23.843798,4774,1939,26.2693997021,3.10891340403,20.3106078963,3.52817925849,18.218683,25.3454356233,0.232940673416
4545,2011,71,1,24.710686,5141,1940,26.6955119933,3.57028487377,19.5502539389,3.61788415098,18.218683,25.4017127327,0.260928681131
4546,2012,71,1,27.550613,5365,1941,27.0739266142,4.066962777,18.9122302044,3.67468891868,18.218683,25.3764770381,0.290176858448
4547,2013,71,1,23.793465,5747,1942,27.4043200587,4.59785496696,18.4578560872,3.70842025981,18.218683,25.2758052207,0.3205230632
